Id;Name;Lat;Lon;Alt;LongName;ShortName;Zone;Desc;OldCode;Resol40;Clim
07005;ABBEVILLE;50.136000;1.834000;69;Abbeville;Abbev;Somme;abbeville;abbev;1;NW
07015;LILLE-LESQUIN;50.570000;3.097500;47;Lille-Lesquin;Lille;Nord;lille-lesquin;;1;C
07020;PTE DE LA HAGUE;49.725167;-1.939833;6;Pointe de la Hague;La-Hague;Manche;cap-de-la-hague;;1;NW
07027;CAEN-CARPIQUET;49.180000;-0.456167;67;Caen-Carpiquet;Caen;Calvados;caen-carpiquet;caen;1;NW
07037;ROUEN-BOOS;49.383000;1.181667;151;Rouen-Boos;Rouen;Seine-Maritime;rouen-boos;rouen;1;C
07072;REIMS-PRUNAY;49.209667;4.155333;95;Reims-Prunay;Reims;Marne;reims-prunay;reims;1;C
07110;BREST-GUIPAVAS;48.444167;-4.412000;94;Brest-Guipavas;Brest;Finistère;brest-guipavas;brest;1;NW
07117;'PLOUMANAC''H';48.825833;-3.473167;55;'Ploumanac''h';Ploumanach;Finistère;ploumanac-h-perros;;1;NW
07130;RENNES-ST JACQUES;48.068833;-1.734000;36;Rennes-Saint-Jacques;Rennes;Ille-et-Vilaine;rennes-st-jacques;renne;1;NW
07139;ALENCON;48.445500;0.110167;143;Alençon;Alencon;Orne;alencon-valframbert;alenc;1;C
07149;ORLY;48.716833;2.384333;89;Orly-Athis-Mons;Orly;Val-de-Marne;orly-athis-mons;;1;C
07168;TROYES-BARBEREY;48.324667;4.020000;112;Troyes-Barberey;Troyes;Aube;troyes-barberey;;1;C
07181;NANCY-OCHEY;48.581000;5.959833;336;Nancy-Ochey;Nancy;Meurthe-et-Moselle;nancy-ochey;nancy;1;NE
07190;STRASBOURG-ENTZHEIM;48.549500;7.640333;150;Strasbourg-Entzheim;Strasbourg;Bas-Rhin;strasbourg-entzheim;stras;1;NE
07207;BELLE ILE-LE TALUT;47.294333;-3.218333;34;Belle Île-Le Talut;Belle-Ile;Morbihan;belle-ile-le-talut;;1;NW
07222;NANTES-BOUGUENAIS;47.150000;-1.608833;26;Nantes-Bouguenais;Nantes;Loire-Atlantique;nantes-atlantique;nante;1;NW
07240;TOURS;47.444500;0.727333;108;Tours;Tours;Indre-et-Loire;tours-parcay-meslay;;1;NW
